DATE,PEA,ELCCND,DO,PH,WTRTMP,댐수위,저수량,강우량,TMn_HS
2018-01-18,,98.0,10.883333333333333,7.420000000000001,4.973333333333334,92.24,117.978,0.0,
2018-01-19,,98.0,11.037500000000001,7.415,5.040000000000001,92.22,117.757,0.0,
2018-01-20,,98.0,10.986666666666666,7.420000000000001,4.943333333333333,92.17,117.206,0.0,
2018-01-21,,98.0,11.01,7.413333333333334,4.91,92.14,116.876,0.0,
2018-01-22,,97.33333333333333,11.020000000000001,7.413333333333334,4.976666666666667,92.11,116.546,0.0,0.149
2018-01-23,,97.66666666666667,11.153333333333334,7.413333333333334,4.97,92.06,115.998,0.0,
2018-01-24,,98.0,11.233333333333334,7.413333333333334,4.746666666666667,92.01,115.451,0.0,
2018-01-25,,98.0,11.323333333333332,7.433333333333334,4.54,91.96,114.905,0.0,
2018-01-26,,98.0,11.433333333333332,7.460000000000001,4.303333333333334,91.91,114.361,0.0,
2018-01-27,,98.0,11.58,7.466666666666666,4.13,91.88,114.036,0.0,
2018-01-28,,98.0,11.593333333333334,7.460000000000001,4.0200000000000005,91.82,113.386,0.0,
2018-01-29,,98.0,11.733333333333334,7.473333333333334,3.9299999999999997,91.78,112.954,0.0,0.162
2018-01-30,,98.0,11.693333333333333,7.486666666666667,3.8466666666666662,91.71,112.2,0.0,
2018-01-31,,98.0,11.836666666666666,7.496666666666667,3.7133333333333334,91.68,111.878,0.0,
2018-02-01,,98.0,11.793333333333331,7.5,3.75,91.62,111.235,0.0,
2018-02-02,,98.0,11.823333333333332,7.493333333333333,3.67,91.56,110.594,0.0,
2018-02-03,,98.0,11.953333333333333,7.506666666666667,3.6533333333333338,91.5,109.955,0.0,
2018-02-04,,98.0,11.963333333333333,7.493333333333333,3.543333333333333,91.47,109.637,0.0,
2018-02-05,,98.0,12.040000000000001,7.523333333333333,3.393333333333333,91.4,108.895,0.0,
2018-02-06,,98.0,12.089999999999998,7.516666666666667,3.293333333333333,91.36,108.472,0.0,0.091
2018-02-07,,98.0,12.146666666666667,7.53,3.283333333333333,91.3,107.84,0.0,
2018-02-08,,98.0,12.200000000000001,7.55,3.223333333333333,91.26,107.42,0.0,
2018-02-09,,98.0,12.236666666666666,7.55,3.216666666666667,91.21,106.895,0.0,
2018-02-10,,98.0,12.200000000000001,7.536666666666666,3.3433333333333337,91.14,106.164,0.0,
2018-02-11,,98.0,12.263333333333334,7.5200000000000005,3.293333333333333,91.09,105.642,0.1,
2018-02-12,,98.0,12.276666666666666,7.55,3.2600000000000002,91.05,105.226,0.9,0.095
2018-02-13,,98.0,12.306666666666667,7.5566666666666675,3.2566666666666664,90.99,104.604,0.0,
2018-02-14,,98.0,12.296666666666667,7.576666666666667,3.3266666666666667,90.93,103.983,0.0,
2018-02-15,,98.0,12.303333333333333,7.59,3.3666666666666667,90.88,103.468,0.0,
2018-02-16,,98.0,12.316666666666668,7.596666666666667,3.35,90.83,102.953,0.0,
2018-02-17,,98.0,12.39,7.603333333333334,3.36,90.77,102.338,0.0,
2018-02-18,,98.0,12.35,7.59,3.3966666666666665,90.72,101.826,0.0,
2018-02-19,,98.0,12.323333333333332,7.583333333333333,3.44,90.66,101.214,0.0,0.074
2018-02-20,,98.0,12.340000000000002,7.5633333333333335,3.5,90.61,100.705,0.0,
2018-02-21,,98.0,12.403859649122808,7.555964912280702,3.5501754385964914,90.56,100.197,0.0,
2018-02-22,,98.0,12.397631578947369,7.570263157894737,3.542236842105263,90.51,99.691,0.0,
2018-02-23,,98.0,12.388421052631578,7.571052631578947,3.6121052631578947,90.45,99.085,0.0,
2018-02-24,,98.0,12.404868421052631,7.576842105263158,3.665394736842105,90.4,98.581,0.0,
2018-02-25,,98.0,12.419868421052632,7.576315789473684,3.71921052631579,90.35,98.078,0.0,
2018-02-26,,98.0,12.39921052631579,7.568684210526317,3.7421052631578946,90.3,97.577,0.0,0.06
2018-02-27,,97.97619047619048,12.41,7.574523809523809,3.8548809523809524,90.25,97.077,0.0,
2018-02-28,,97.97619047619048,12.464880952380952,7.575238095238096,3.8901190476190473,90.23,96.877,24.3,
2018-03-01,,98.0,12.50297619047619,7.5719047619047615,4.038214285714285,90.21,96.677,0.5,
2018-03-02,,98.0,12.5125,7.575238095238096,4.062619047619047,90.17,96.279,0.0,
2018-03-03,,98.0,12.540238095238097,7.581904761904762,4.076190476190477,90.13,95.881,0.0,
2018-03-04,,97.97619047619048,12.556190476190476,7.5823809523809516,4.492380952380953,90.11,95.682,5.5,
2018-03-05,,97.98809523809524,12.550833333333333,7.576428571428571,4.489047619047619,90.08,95.385,8.6,0.044
2018-03-06,,98.0,12.514642857142857,7.565952380952382,4.4090476190476195,90.05,95.088,0.0,
2018-03-07,,97.64285714285714,12.510952380952382,7.55857142857143,4.668452380952381,90.02,94.791,10.2,
2018-03-08,,97.64285714285714,12.464642857142858,7.548809523809524,4.728809523809524,90.13,95.881,21.3,
2018-03-09,,98.0,12.413571428571428,7.539880952380953,4.486547619047619,90.22,96.777,0.0,
2018-03-10,,98.0,12.477976190476191,7.5475,4.57404761904762,90.23,96.877,0.0,
2018-03-11,,98.0,12.430833333333334,7.547380952380952,4.654761904761905,90.23,96.877,0.0,
2018-03-12,,97.60714285714286,12.442619047619049,7.548095238095238,4.717857142857143,90.21,96.677,0.0,0.062
2018-03-13,,96.92857142857143,12.452261904761905,7.560238095238096,5.915,90.18,96.378,0.0,
2018-03-14,,97.38095238095238,12.454761904761906,7.563095238095239,6.545952380952381,90.15,96.08,0.0,
2018-03-15,,98.95238095238095,12.376785714285715,7.566904761904762,6.891071428571429,90.28,97.377,36.9,
2018-03-16,,97.63095238095238,12.246309523809524,7.545,6.390833333333334,90.46,99.186,0.6,
2018-03-17,,98.27380952380952,12.228928571428572,7.552261904761904,6.482619047619047,90.53,99.893,0.0,
2018-03-18,,99.28571428571429,12.188214285714285,7.563809523809524,6.82404761904762,90.59,100.502,20.8,
2018-03-19,,97.36904761904762,12.170595238095238,7.536428571428571,6.201309523809523,91.12,105.955,22.8,
2018-03-20,,94.35714285714286,12.097261904761904,7.50702380952381,6.026547619047619,91.52,110.168,0.7,0.106
2018-03-21,,95.02380952380952,12.089404761904762,7.5075,6.133928571428571,91.77,112.846,10.4,
2018-03-22,,96.3452380952381,12.046785714285715,7.504047619047619,5.599523809523809,91.93,114.579,0.9,
2018-03-23,,96.20238095238095,12.050476190476191,7.502380952380953,5.716428571428572,92.04,115.779,0.0,
2018-03-24,,95.89285714285714,12.077619047619047,7.517738095238095,6.318452380952381,92.1,116.436,0.0,
2018-03-25,,97.9047619047619,12.144166666666667,7.582023809523809,7.331547619047619,92.13,116.766,0.0,
2018-03-26,,98.47619047619048,12.081428571428571,7.579714285714286,7.2459999999999996,92.14,116.876,0.0,
2018-03-27,,98.31428571428572,12.044857142857143,7.573809523809524,7.067047619047618,92.13,116.766,0.0,0.093
2018-03-28,,98.88095238095238,12.061666666666667,7.605476190476191,7.655119047619047,92.12,116.656,0.0,
2018-03-29,,99.0952380952381,12.08904761904762,7.6347619047619055,8.086666666666666,92.08,116.217,0.0,
2018-03-30,,99.04365079365078,11.97797619047619,7.647619047619047,8.080515873015873,92.06,115.998,0.0,
